8	152.6451355
9	152.6418297
10	152.6418432
11	152.5896253
12	152.5890982
13	152.5907118
14	152.5889607
15	152.8607152
16	152.861209
17	152.8621195
18	152.8612032
19	152.3343104
20	152.3352686
21	152.3359235
22	152.33485
23	152.3358845
24	152.5887471
25	152.5887881
26	152.5903998
27	152.5890046
28	152.8073235
29	152.8073298
30	152.8082629
31	152.8069859
32	153.1546267
33	153.1540808
34	153.1551379
35	153.1542848
36	153.1553101
37	153.7237293
38	153.725584
39	153.7261921
40	153.7282137
41	153.7264747
42	153.7282176
43	153.5512384
44	153.5513349
45	153.5524966
46	153.5516155
47	153.1905802
48	153.1910764
49	153.1914675
50	153.1910455
51	153.1915943
52	152.5577995
53	152.5577749
54	152.5591546
55	152.5578231
56	152.5591242
57	150.8699359
58	150.8704389
59	150.8717009
60	150.870599
61	150.871808
62	150.8704765
63	150.6565856
64	150.6563542
65	150.6582547
66	150.6567448
67	151.8700424
68	151.8705888
69	151.8717221
70	151.8731404
71	151.8715461
72	151.9520809
73	151.9522034
74	151.9534891
75	151.9522627
76	151.9537158
77	152.8290881
78	152.829021
79	152.8301572
80	152.8289255
81	152.8301138
82	149.5892839
83	149.5886728
84	149.5902339
85	149.589036
86	149.5903173
87	149.1017921
88	149.1038932
89	149.1044811
90	149.1038301
91	149.1045467
92	149.2578477
93	149.2589834
94	149.2602112
95	149.2593229
96	149.6158227
97	149.6166339
98	149.6145279
99	149.6155927
100	149.6172902
101	149.6286912
102	149.6286753
103	149.6304755
104	149.6289169
105	149.6304234
106	149.6288117
107	148.4111019
108	148.4120563
109	148.4135344
110	148.412119
111	151.2712987
112	151.2732755
113	151.2743996
114	151.2731351
115	151.2745018
116	151.2731019
117	151.2744637
118	151.2731554
119	154.8892901
120	154.89155
121	154.8931617
122	154.89148
123	154.893099
124	157.0875448
125	157.0894623
126	157.0897902
127	157.0892308
128	157.0887534
129	157.6017289
130	157.6036844
131	157.6038537
132	157.6032716
133	157.6037867
134	158.2179008
135	158.2189
136	158.2196706
137	158.218832
138	158.2197541
139	158.2187138
140	158.949281
141	158.9512201
142	158.9516787
143	158.9514173
144	158.9517704
145	158.2847024
146	158.2858464
147	158.2861584
148	158.285911
149	158.2861531
150	156.5929273
151	156.5931752
152	156.5941165
153	156.5930599
154	156.5941459
155	156.1545573
156	156.1555985
157	156.1566247
158	156.1541787
159	156.1558603
160	154.6101466
161	154.6106395
162	154.6124908
163	154.6106486
164	154.6125526
165	151.4760166
166	151.477215
167	151.4775121
168	151.4768099
169	151.4775106
170	151.47682
171	151.1422714
172	151.1434375
173	151.1439564
174	151.1433623
175	152.6730474
176	152.6750868
177	152.6756703
178	152.67515
179	152.6759852
180	151.6106115
181	151.6118813
182	151.6124691
183	151.6120047
184	151.6123693
185	152.81602
186	152.818532
187	152.819606
188	152.8167236
189	152.8186699
190	152.2640774
191	152.2653342
192	152.2668191
193	152.2654128
194	152.2669565
195	152.2654022
196	152.7221484
197	152.723166
198	152.723506
199	152.7229466
200	152.5923905
201	152.5938281
202	152.5946523
203	152.5938055
204	152.4070992
205	152.407947
206	152.4088956
207	152.4081641
208	152.40913
209	152.4082475
210	151.5926018
211	151.5942486
212	151.5947791
213	151.5941276
214	152.4757436
215	152.47697
216	152.4782731
217	152.4769329
218	152.4755956
219	151.9414882
220	151.9418832
221	151.9431072
222	151.9418943
223	151.9431563
224	152.1366035
225	152.1380276
226	152.138153
227	152.137948
228	152.1379933
229	150.4361155
230	150.4375357
231	150.4382017
232	150.4375506
233	150.4381096
234	147.7055503
235	147.707038
236	147.7072463
237	147.7069661
238	147.7073626
239	147.3163373
240	147.3173124
241	147.3181009
242	147.3173076
243	147.318151
244	147.3172251
245	148.7386265
246	148.7392646
247	148.7403627
248	148.7371074
249	148.7382041
250	148.6791363
251	148.6791252
252	148.6806737
253	148.679116
254	148.6806887
255	151.1336386
256	151.1340244
257	151.135001
258	151.1338773
259	151.1350902
260	151.0662302
261	151.0673847
262	151.0681028
263	151.0673847
264	151.0681891
265	150.7321012
266	150.733627
267	150.7340283
268	150.7335258
269	150.7341136
270	150.7335769
271	150.1548847
272	150.155924
273	150.1563884
274	150.156169
275	150.1564159
276	150.5028337
277	150.503615
278	150.5009452
279	150.5025039
280	150.5034693
281	150.8141459
282	150.8142231
283	150.8154157
284	150.8143089
285	156.8236082
286	156.1954765
287	156.1967641
288	156.1970028
289	156.1966628
290	156.1971759
291	157.3077792
292	157.3092588
293	157.3100965
294	157.3091927
295	157.3101018
296	157.3091093
297	157.3100627
298	157.295788
299	157.2983435
300	157.2986892
301	157.2982571
302	157.2984481
303	155.9995838
304	155.9995602
305	156.0008623
306	155.9991729
307	156.0009086
308	155.9966585
309	155.0489135
310	155.0490066
311	155.0503892
312	155.0492969
313	155.0505411
314	154.6166045
315	154.6164863
316	154.6177773
317	154.6165191
318	154.6177575
319	155.2580826
320	155.2593779
321	155.2599498
322	155.2591459
323	155.2600309
324	154.0256496
325	154.0277165
326	154.0282986
327	154.0277238
328	154.0283922
329	154.0277185
330	153.8732325
331	153.8739945
332	153.8745573
333	153.8737659
334	153.5070404
335	153.5085253
336	153.5087756
337	153.5087736
338	153.5044647
339	153.5059968
340	154.3761318
341	154.3781216
342	154.3783801
343	154.3778159
344	154.4481583
345	154.4499306
346	154.4514053
347	154.4500231
348	154.451304
349	154.4499209
350	154.5662606
351	154.5672782
352	154.568303
353	154.5671108
354	153.8423712
355	153.8438812
356	153.8451162
357	153.8437514
358	153.8450256
359	153.8437042
360	154.1155512
361	154.1172454
